name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.88333,-99.9,"(16.88333, -99.9)"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,"(16.39806, -9.57028)"
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.27333,44.21556,"(35.27333, 44.21556)"
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,"(25.15, 105.18333)"
Bo Xian,5090,Valid,LL3.9,7500,Fell,01/01/1977 12:00:00 AM,33.83333,115.83333,"(33.83333, 115.83333)"
Canon City,5253,Valid,H6,1400,Fell,01/01/1973 12:00:00 AM,38.47028,-105.24139,"(38.47028, -105.24139)"
Changde,5322,Valid,H5,1810,Fell,01/01/1977 12:00:00 AM,29.08333,111.75,"(29.08333, 111.75)"
Chitenay,5357,Valid,L6,4000,Fell,01/01/1978 12:00:00 AM,47.47083,0.97667,"(47.47083, 0.97667)"
Cilimus,5364,Valid,L5,1600,Fell,01/01/1979 12:00:00 AM,-6.95,108.1,"(-6.95, 108.1)"
Dhajala,6698,Valid,H3.8,45000,Fell,01/01/1976 12:00:00 AM,22.37778,71.42722,"(22.37778, 71.42722)"
Dongtai,7708,Valid,LL6,5500,Fell,01/01/1970 12:00:00 AM,32.91667,120.78333,"(32.91667, 120.78333)"
Dowa,7725,Valid,Stone-uncl,642,Fell,01/01/1976 12:00:00 AM,-13.66667,33.91667,"(-13.66667, 33.91667)"
Dunhua,7749,Valid,Stone-uncl,,Fell,01/01/1976 12:00:00 AM,43.33333,128.25,"(43.33333, 128.25)"
Dwaleni,7755,Valid,H4-6,3230,Fell,01/01/1970 12:00:00 AM,-27.2,31.31667,"(-27.2, 31.31667)"
El Paso de Aguila,45977,Valid,H5,17226,Fell,01/01/1977 12:00:00 AM,25.37,-97.37,"(25.37, -97.37)"
